emp_no,first_name,last_name,to_date,salary
417828,Marjo,Besancenot,9999-01-01,40000
230419,Mona,Comte,9999-01-01,40000
45618,Huiqun,Kandlur,1996-02-11,47314
401059,Wuxu,DasSarma,2002-04-23,52071
403147,Hideyuki,Legleitner,9999-01-01,40000
495650,Vishwani,Colorni,9999-01-01,40000
67609,Poornachandra,Berztiss,9999-01-01,58305
230716,Xinglin,Panangaden,9999-01-01,77088
287793,Tadahiko,Kavanagh,2001-01-10,40000
438843,Luerbio,Lowrie,9999-01-01,43132
218875,Chaosheng,Litzler,1996-03-27,75818
22370,Aloys,Oxenboll,9999-01-01,76113
210718,Nikolaos,Kalafatis,1996-11-02,40000
489916,Steve,Munoz,9999-01-01,40000
42942,Mansur,Bolotov,9999-01-01,40000
48996,Navin,Gelosh,9999-01-01,45007
405754,Fei,Borovoy,9999-01-01,40000
426592,Alois,Quaggetto,9999-01-01,50897
73090,Yoshinari,Takkinen,9999-01-01,48393
50356,Guoxiang,Knightly,9999-01-01,76936
433628,Vishu,Copas,9999-01-01,44618
232918,Mayuko,Bultermann,9999-01-01,64617
105595,Gino,Hmelo,9999-01-01,69111
296368,Annemarie,Warwick,1994-01-19,57411
445742,Ayonca,Teitelbaum,1999-01-14,50041
29573,Kwangsub,Linnainmaa,9999-01-01,84246
202257,Yakichi,Koshino,9999-01-01,51345
13192,Rosita,Flowers,2001-01-19,43986
64090,Uli,Gecseg,9999-01-01,57737
423830,Maya,Menhoudj,9999-01-01,66576
498710,Zhongwei,Luef,9999-01-01,40997
247408,Aamod,Perez,9999-01-01,54944
267993,Kerryn,Zwicker,9999-01-01,70536
278329,Khatoun,Isard,9999-01-01,59613
405096,Lubomir,Suermann,9999-01-01,48966
109193,Garnet,Scharstein,9999-01-01,66788
489595,Arvind,Gomatam,1993-03-12,40000
29895,Maja,Encarnacion,1997-01-01,40000
19201,Arto,Sommen,9999-01-01,85848
292921,Weiru,Huhdanpaa,9999-01-01,42050
271189,Eirik,Plump,9999-01-01,40000
212997,Sumant,Zaccaria,1994-01-23,65739
237454,Sivanarayana,Zielinski,1996-07-20,52158
472895,Jongsuk,Harllee,1989-01-25,40000
78744,Shichao,Tempesti,1988-10-12,40000
47376,Mats,Rouquie,9999-01-01,65898
213906,Sven,Gerteisen,9999-01-01,65282
278359,Bojan,Ernst,2001-12-10,51455
100846,Mark,Kalloufi,1988-10-23,41703
106869,Claudi,Mullainathan,9999-01-01,43859
265830,Adam,Marchegay,9999-01-01,40000
415749,Ravishankar,Nittel,9999-01-01,70972
53860,Nahid,Masamoto,9999-01-01,89507
435812,Kazuhisa,Rosca,9999-01-01,58864
481419,Masali,Coors,9999-01-01,44385
78548,Xiaoqiang,Boissier,2000-03-30,45642
11148,Zhanqiu,Botman,9999-01-01,56344
80216,Tristan,Heiserman,2000-02-12,56047
487284,Palash,Wuwongse,1986-12-10,62232
76543,Reinhold,Miculan,9999-01-01,44805
65711,Sarita,Kalloufi,9999-01-01,46032
274772,Palash,Busillo,2001-08-05,50299
428851,Bilhanan,Berendt,9999-01-01,45101
202539,Fuqing,Brookman,9999-01-01,40000
101005,Niranjan,Erni,9999-01-01,40000
438535,Debaprosad,Halevi,1998-10-31,55459
71490,Yannis,Vieri,9999-01-01,63239
74458,Gennady,Guenter,9999-01-01,52323
291651,Ortrun,Baaleh,2002-06-23,52792
64151,Rasikan,Alameldin,9999-01-01,58265
226471,JoAnna,Stroustrup,9999-01-01,47449
452403,Angel,Arlazarov,2000-02-21,40000
413665,Tzu,Shumilov,9999-01-01,45381
492799,LiMin,Ramsak,9999-01-01,70974
95772,Ziva,Sinicrope,9999-01-01,72147
37991,Takahiro,Waleschkowski,1997-12-09,40000
424734,Zhensheng,Babb,1989-07-18,56812
430347,Malu,Cyne,9999-01-01,69671
475003,Branimir,Miara,2001-02-07,88287
226670,Olivera,Gajiwala,1988-04-02,50511
443270,Vasiliy,Chvatal,9999-01-01,83534
414674,Guozhong,Stemann,9999-01-01,40000
402019,Gian,Ibel,9999-01-01,40000
296884,Nevin,Krichel,9999-01-01,40000
248988,Lokesh,Wynblatt,9999-01-01,65731
59295,Subbu,Ducloy,9999-01-01,40603
464845,Toong,Hooghiemstra,9999-01-01,56522
261526,Fumiyo,Munro,9999-01-01,74610
444518,Uwe,Kaelbling,1987-07-02,69208
94313,Menkae,Birdsall,9999-01-01,40000
491598,Arra,Bade,9999-01-01,65835
250423,Tua,Krupka,9999-01-01,43880
94734,Bingning,Anguita,9999-01-01,70247
255902,Elvia,Businaro,9999-01-01,68110
246630,Adib,Markovitch,1999-07-22,69702
221599,Juyoung,Serot,9999-01-01,64036
241762,Toney,Tiemann,1992-08-07,55417
495873,Jackson,Crabtree,1991-06-16,48875
229367,Oscar,Katzenelson,1988-01-09,55171
448899,Rance,Mattern,9999-01-01,40445
38552,Yolla,Quittner,9999-01-01,80856
208576,Alper,Rodham,9999-01-01,40000
490945,Moriyoshi,Schiettecatte,9999-01-01,40000
411719,Fumino,Sambasivam,1985-11-20,45626
254220,Ziyad,Marshall,1992-07-18,40000
82263,Vishv,Haumacher,9999-01-01,77210
243955,Marjo,Marchegay,1992-06-25,65953
412520,Moon,Thiran,9999-01-01,61363
403860,Pragnesh,Senzako,9999-01-01,40000
448406,Masami,Kitsuregawa,9999-01-01,59871
51088,Adin,Rathonyi,9999-01-01,59934
254394,Mingsen,Garnick,1989-08-04,40000
290354,Sumali,Ramsay,9999-01-01,40000
499166,Kiyomitsu,Gini,1990-06-29,79046
242561,Shen,Compeau,1996-09-20,51815
71429,Abdelaziz,Budinsky,1996-11-23,48713
458199,Yuguang,Isard,9999-01-01,40000
427274,Xiaobin,Stellhorn,1991-05-19,40000
295364,Shaowei,Parascandalo,9999-01-01,56416
422380,Mamdouh,Kawashimo,9999-01-01,40000
229461,Berto,Raczkowsky,9999-01-01,77682
262919,Naftali,Gist,9999-01-01,45859
67937,Odinaldo,Bashian,9999-01-01,46209
248686,Danil,Awdeh,9999-01-01,40000
202223,Marit,Waschkowski,9999-01-01,82928
87078,Boalin,Muntz,9999-01-01,41587
488800,Foong,Schieder,1996-07-11,59269
74866,Masaki,Pavlopoulou,2000-11-03,40000
92745,Haldun,Morrin,1999-01-22,40000
64726,Dulce,Hambrick,1993-05-21,40000
263913,Sampalli,Berstel,1999-10-24,43960
264250,Shmuel,Fasbender,1992-05-29,40000
90810,Barton,Buchter,9999-01-01,40000
471929,Kristen,Bale,9999-01-01,66719
21110,Shaowei,Solares,9999-01-01,88140
99104,Karsten,Kolinko,9999-01-01,40000
77541,Hideo,Furudate,1995-01-31,67940
62696,Paloma,Callaway,1998-03-02,84196
236303,Wilmer,Michaels,9999-01-01,40000
50610,Kazuhira,Nyanchama,9999-01-01,65206
284163,JoAnna,Cromarty,9999-01-01,40000
445250,Alenka,Zaiane,9999-01-01,41725
284603,Zijian,Besselaar,9999-01-01,40000
210889,Kiyokazu,Schmittgen,9999-01-01,45595
267104,Ronghao,Marciano,9999-01-01,64541
413146,Yifei,Peot,9999-01-01,40000
438193,Martial,Chandrasekhar,9999-01-01,70650
99794,Kristin,Garnick,1999-01-23,40000
91774,Hugo,Pietracaprina,9999-01-01,89162
209322,Xumin,Frezza,9999-01-01,40000
298480,Kristinn,Perez,9999-01-01,70261
82944,Alois,Gomatam,9999-01-01,40000
202521,Sanjai,Vickson,9999-01-01,40000
464040,Hyuncheol,Kavraki,9999-01-01,56302
12608,Nectarios,Mondadori,9999-01-01,40000
20221,Shietung,Munoz,1991-09-01,40000
63220,Subir,Swiler,9999-01-01,49827
84318,Shin,Lally,9999-01-01,56043
296910,Sampalli,Conia,9999-01-01,65559
447849,Izaskun,Wissmann,9999-01-01,105937
424765,Lillian,Azevdeo,1995-08-26,58195
485846,Vishv,Gecsel,9999-01-01,40000
444183,Divier,Provine,9999-01-01,66191
429961,Houman,Swiss,9999-01-01,73843
449816,Mariangiola,Lanzelotte,9999-01-01,54067
480366,Chikara,Eiter,9999-01-01,83998
265829,Demos,Menhoudj,9999-01-01,56486
291733,Huei,Baby,9999-01-01,40000
63911,Annemarie,Siochi,1998-03-16,40000
281381,Shahar,Kushner,1993-05-29,54709
102110,Mang,Christ,9999-01-01,58708
74851,Takanari,Ratzlaff,9999-01-01,42705
201686,Brewster,Comte,9999-01-01,40000
264994,Gou,Brender,9999-01-01,40000
402766,Tonia,Bauknecht,9999-01-01,52302
459783,Conrado,Olivero,9999-01-01,40000
438333,Tayeb,Pesch,1992-12-07,40000
441043,Duangkaew,Heinisuo,2002-03-22,40000
438144,Martial,Suri,1998-08-15,56806
442341,Manton,Mawatari,1995-12-16,51169
234181,Masali,Camarinopoulos,9999-01-01,40000
235594,Yannik,Heemskerk,9999-01-01,48985
445880,Fei,Narwekar,1997-10-15,66495
258451,Nahla,Menhardt,9999-01-01,57052
215227,Guangming,Delgrossi,1995-08-30,70741
102851,Xudong,Bruckman,9999-01-01,40000
260342,Leaf,Peroz,9999-01-01,51495
53530,Gully,Pintelas,9999-01-01,54088
417427,Doohun,Lores,9999-01-01,67756
202013,Tremaine,Luders,9999-01-01,43291
270983,Shen,Einsfeld,9999-01-01,40000
489663,Troy,Koblick,9999-01-01,60875
100358,Lucian,Falby,9999-01-01,40000
442679,Patricio,Foote,9999-01-01,56969
62480,Bedrich,Stemann,2001-03-19,68446
495925,Guttorm,Bage,9999-01-01,41635
400838,Gadiel,Ghelli,1994-08-30,56278
403690,Phillip,Doering,9999-01-01,66182
291353,Alselm,Farrag,9999-01-01,81358
91058,Weijing,Litzkow,9999-01-01,61544
475779,Marek,Armand,1994-06-15,64543
30351,Djenana,Blokdijk,9999-01-01,85423
449105,Jiakeng,Riesenhuber,9999-01-01,40000
279070,Marie,Diderrich,9999-01-01,41574
21412,Paloma,Brizzi,1988-08-04,55407
408181,Zhigen,Emden,9999-01-01,99451
258554,Yonghong,Kossowski,9999-01-01,40000
248292,Arunas,Bugrara,9999-01-01,52830
402057,Perry,Strooper,1997-08-28,47525
441332,Sverrir,Bruckman,9999-01-01,40000
255144,Pranjal,Perelgut,9999-01-01,60582
477514,Angel,Reistad,9999-01-01,40000
412305,Tetsurou,Coombs,2001-12-12,96939
223937,Heekeun,Schoegge,9999-01-01,40000
246276,Shimshon,Moffat,1987-06-17,59126
215785,Zita,Tetzlaff,1996-05-13,45564
490331,Zito,Peris,9999-01-01,40000
496878,Dante,Frezza,9999-01-01,50489
83507,Shugo,Chimia,9999-01-01,40000
61515,Mats,Curless,9999-01-01,90646
16729,Kirk,Broomell,9999-01-01,51318
463368,Kotesh,Irland,9999-01-01,40000
400975,Toshiko,Gniady,1999-08-15,64508
445531,Jamaludin,Randt,9999-01-01,48834
246622,Shigeu,Valette,9999-01-01,40000
72869,Shay,Basagni,1988-05-12,51470
437159,Munehiko,Ritzmann,9999-01-01,42772
14197,Adin,Chachaty,2000-12-24,52474
71839,Owen,Hasenauer,9999-01-01,40000
478547,Thodoros,Ghalwash,1994-10-13,40000
446274,Lucian,Penttonen,9999-01-01,40000
202651,Jeane,Sichman,1995-06-09,68939
439493,Almudena,Bednarek,1999-05-05,44448
70751,Danil,Heusch,9999-01-01,43677
419272,Waiman,Ghalwash,9999-01-01,51226
248092,Macha,Marzano,9999-01-01,70442
298150,Sachio,Alblas,9999-01-01,64394
497527,Shahab,Sudkamp,1995-10-16,40000
42623,Tayeb,Decleir,9999-01-01,67798
445682,Jongsuk,Peha,9999-01-01,50858
416924,Vishwani,Ambroszkiewicz,9999-01-01,93361
11987,Vidya,Schaar,1993-09-14,40000
410594,Yannik,Stille,1999-07-07,56702
250276,Teruyuki,Schneeberger,9999-01-01,40000
202023,Mabhin,Radivojevic,9999-01-01,64489
61045,Bedir,Poujol,9999-01-01,55543
100933,Uli,Taneja,9999-01-01,74993
469243,Sadegh,Rissland,9999-01-01,40000
228999,Fen,Birsak,9999-01-01,58424
250464,Florian,Gimbel,1989-07-23,85561
242572,Jongsuk,Danlos,9999-01-01,40000
487758,Sandeepan,Wendorf,9999-01-01,40000
421180,Pranay,Lindenbaum,9999-01-01,96054
36355,Aleksandar,Alblas,9999-01-01,56593
476478,Rosli,Perez,9999-01-01,51047
74695,Bluma,Yamaashi,9999-01-01,51493
436074,Jessie,Morrow,9999-01-01,65240
12663,Nobuyoshi,Stellhorn,9999-01-01,49966
469769,Ewing,Pelz,1996-07-02,47591
286683,Katsuyuki,Decaestecker,9999-01-01,60121
402035,Shalesh,Back,9999-01-01,55104
291539,Randi,Pappas,1992-02-29,60006
284594,Sahrah,Rouquie,9999-01-01,55783
60664,Serenella,Panwar,2000-03-08,58942
25680,Nectarios,Ponthieu,2001-09-12,47252
102677,Huei,Karcich,9999-01-01,40000
96393,Quingbo,Condotta,1999-12-08,74745
475462,Bikash,Marquardt,9999-01-01,67857
485487,Goetz,Roohalamini,9999-01-01,93536
493116,Pintsang,Heping,9999-01-01,40000
207780,Dinah,Schade,9999-01-01,61591
498559,Lech,Hertweck,9999-01-01,49181
487986,Jackson,Geffroy,9999-01-01,86827
419053,Irene,Karcich,9999-01-01,40000
51616,Rafail,Rassart,9999-01-01,48640
88661,Moheb,Frijda,9999-01-01,45953
49242,Hongzue,Erman,9999-01-01,55679
435241,Takahito,Ciolek,9999-01-01,52129
