emp_no,first_name,last_name,from_date,to_date,birth_date
10001,Georgi,Facello,1986-06-26,9999-01-01,1953-09-02
10004,Chirstian,Koblick,1995-12-01,9999-01-01,1954-05-01
10004,Chirstian,Koblick,1986-12-01,1995-12-01,1954-05-01
10009,Sumant,Peac,1985-02-18,1990-02-18,1952-04-19
10009,Sumant,Peac,1995-02-18,9999-01-01,1952-04-19
10009,Sumant,Peac,1990-02-18,1995-02-18,1952-04-19
10018,Kazuhide,Peha,1987-04-03,1995-04-03,1954-06-19
10018,Kazuhide,Peha,1995-04-03,9999-01-01,1954-06-19
10035,Alain,Chappelet,1996-09-05,9999-01-01,1953-02-08
10035,Alain,Chappelet,1988-09-05,1996-09-05,1953-02-08
10053,Sanjiv,Zschoche,1994-11-13,9999-01-01,1954-09-13
10058,Berhard,McFarlin,1988-04-25,9999-01-01,1954-10-01
10066,Kwee,Schusler,1992-02-26,1998-02-25,1952-11-13
10066,Kwee,Schusler,1986-02-26,1992-02-26,1952-11-13
10066,Kwee,Schusler,1998-02-25,9999-01-01,1952-11-13
10067,Claudi,Stavenow,1996-03-03,9999-01-01,1953-01-07
10067,Claudi,Stavenow,1987-03-04,1996-03-03,1953-01-07
10070,Reuven,Garigliano,1985-10-14,9999-01-01,1955-08-20
10072,Hironoby,Sidou,1995-05-21,9999-01-01,1952-05-15
10072,Hironoby,Sidou,1989-05-21,1995-05-21,1952-05-15
10076,Erez,Ritzmann,1996-07-15,9999-01-01,1952-06-13
10088,Jungsoon,Syrzycki,1993-09-02,9999-01-01,1954-02-25
10088,Jungsoon,Syrzycki,1988-09-02,1993-09-02,1954-02-25
10100,Hironobu,Haraldson,1994-09-21,9999-01-01,1953-04-21
10100,Hironobu,Haraldson,1987-09-21,1994-09-21,1953-04-21
10103,Akemi,Birch,1998-01-12,9999-01-01,1953-11-26
10126,Kayoko,Valtorta,1991-09-08,9999-01-01,1954-08-07
10126,Kayoko,Valtorta,1985-09-08,1991-09-08,1954-08-07
10129,Armond,Peir,1996-01-16,9999-01-01,1955-12-02
10130,Nishit,Casperson,1988-06-21,9999-01-01,1955-04-27
